city,district,front,size,property_age,bedrooms_number,bathrooms_number,livingrooms_number,kitchen_existence,garage_existence,has_driver_room,has_maid_room,is_furnished,has_ac,has_roof,has_pool,has_frontyard,has_basement,is_duplex,has_elevator,has_fireplace,price,rooms_number,house_worker_facilities_existence
 Riyadh,   حي الروضة ,West,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,0,1,150000,10,1
 Riyadh,   حي الملقا ,South,375,2,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,130000,9,0
 Riyadh,   حي العارض ,South,300,0,4,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,80000,7,1
 Riyadh,   حي المحمدية ,West,460,20,5,5,3,1,1,0,1,0,1,1,0,1,1,0,0,0,100000,13,0
 Riyadh,   حي ام سليم ,South Westي,340,0,4,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,45000,8,1
 Riyadh,   حي الاندلس ,North,330,15,7,5,3,1,1,0,1,0,1,1,0,1,0,1,0,0,75000,15,0
 Riyadh,   حي المروج ,North,250,3,4,3,2,1,1,1,1,1,1,0,1,1,0,1,0,0,190000,9,1
 Riyadh,   حي المؤتمرات ,East,240,15,3,4,3,1,1,1,1,0,1,0,0,1,0,1,0,0,200000,10,1
 Riyadh,   حي السليمانية ,North,400,0,6,5,3,1,1,0,1,0,1,0,0,1,0,1,0,0,85000,14,0
 Riyadh,   حي القيروان ,West,300,0,2,5,3,1,0,0,0,0,1,0,0,1,0,1,0,0,80000,10,0
 Riyadh,   حي الرمال ,North,206,0,4,4,2,1,1,0,1,0,1,1,0,1,0,0,0,0,50000,10,0
 Riyadh,   حي الواحة ,West,550,18,4,4,4,1,1,1,1,0,0,0,0,1,0,0,0,0,90000,12,1
 Riyadh,   حي الفيحاء ,West,600,14,5,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,85000,12,1
 Riyadh,   حي المهدية ,South,300,0,6,5,2,0,1,0,1,0,0,1,0,1,0,0,0,1,42000,13,0
 Riyadh,   حي الصحافة ,West,375,7,3,5,2,1,1,1,1,1,1,0,1,1,0,1,0,0,140000,10,1
 Riyadh,   حي ظهرة لبن ,West,450,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,0,1,60000,14,0
 Riyadh,   حي الرمال ,South,290,0,5,5,3,1,1,0,1,0,0,1,0,1,0,0,0,1,40000,13,0
 Riyadh,   حي العارض ,East,394,0,4,5,2,1,1,1,1,1,1,1,0,1,0,0,0,1,140000,11,1
 Riyadh,   حي العقيق ,North,1200,15,7,5,4,1,1,1,1,0,1,1,1,1,0,0,0,0,400000,16,1
 Riyadh,   حي المصيف ,North,600,20,5,5,2,1,1,1,1,0,1,1,0,1,0,0,0,0,125000,12,1
 Riyadh,   حي العارض ,North,312,0,4,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,100000,10,0
 Riyadh,   حي الملقا ,West,416,0,4,4,1,1,1,1,1,0,0,0,0,1,0,1,0,0,160000,9,1
 Riyadh,   حي السليمانية ,North,270,5,3,4,2,1,1,1,1,0,1,0,1,1,0,1,0,0,125000,9,1
 Riyadh,   حي النرجس ,North,230,0,4,3,1,1,1,0,1,0,1,1,0,1,0,1,0,0,80000,8,0
 Riyadh,   حي العارض ,West,300,0,5,4,2,1,1,0,1,0,1,1,0,1,0,1,0,0,85000,11,0
 Riyadh,   حي الزهرة ,North,280,10,7,4,2,1,1,0,1,0,0,0,0,1,0,1,0,0,35000,13,0
 Riyadh,   حي العقيق ,South Westي,850,7,5,5,3,1,1,1,1,0,1,1,0,1,1,0,0,1,150000,13,1
 Riyadh,   حي الصحافة ,East,375,10,4,5,4,1,1,1,1,1,1,1,0,1,0,0,0,0,105000,13,1
 Riyadh,   حي الصحافة ,East,320,7,5,4,2,1,1,1,1,0,1,0,0,1,0,0,0,0,90000,11,1
 Riyadh,   حي المعيزلة ,East,300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,0,0,45000,12,0
 Riyadh,   حي الرائد ,South,375,8,4,5,2,1,1,0,1,0,1,1,0,0,0,0,0,0,100000,11,0
 Riyadh,   حي الصحافة ,North Westي,250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,95000,11,0
 Riyadh,   حي الروابي ,4 شوارع,3060,0,4,4,2,1,1,1,1,0,1,0,0,1,0,1,0,0,80000,10,1
 Riyadh,   حي طويق ,West,264,0,7,5,3,1,1,0,1,0,1,1,0,1,0,1,0,1,50000,15,0
 Riyadh,   حي الرحمانية ,North,450,12,7,5,2,1,1,1,1,1,1,1,0,1,0,0,0,1,130000,14,1
 Riyadh,   حي اشبيلية ,South,360,6,7,5,2,0,1,1,1,0,1,1,0,1,0,0,0,1,80000,14,1
 Riyadh,   حي الرمال ,North,206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,60000,10,0
 Riyadh,   حي العقيق ,East,318,7,4,4,2,1,0,1,1,0,1,0,0,1,0,0,0,0,85000,10,1
 Riyadh,   حي اليرموك ,South Westي,400,8,7,5,2,1,1,0,1,0,1,0,0,1,0,0,0,0,60000,14,0
 Riyadh,   حي الوشام ,West,525,25,3,3,2,1,1,0,1,0,1,0,1,1,0,0,0,0,90000,8,0
 Riyadh,   حي اليرموك ,South,275,10,5,5,2,1,1,0,1,0,0,0,0,1,0,0,0,0,60000,12,0
 Riyadh,   حي المهدية ,West,227,0,5,5,1,1,1,0,0,0,0,1,0,0,0,1,0,0,55000,11,0
 Riyadh,   حي اليرموك ,East,313,6,5,5,1,1,1,1,1,0,0,1,0,1,0,0,0,1,65000,11,1
 Riyadh,   حي الملقا ,West,488,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,0,0,250000,11,1
 Riyadh,   حي قرطبة ,North,360,10,5,5,1,1,1,0,1,0,1,0,0,1,0,1,0,0,75000,11,0
 Riyadh,   حي السليمانية ,North,300,15,4,4,2,1,1,0,0,0,1,0,1,1,0,1,0,0,90000,10,0
 Riyadh,   حي الرمال ,North,350,0,5,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,45000,11,0
 Riyadh,   حي العارض ,North,290,0,5,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,170000,12,1
 Riyadh,   حي المونسية ,East,420,3,4,4,2,1,1,0,0,0,1,0,1,1,0,0,0,1,90000,10,0
 Riyadh,   حي الملقا ,North,250,5,3,5,2,1,1,1,1,1,1,0,0,1,0,1,0,0,155000,10,1
 Riyadh,   حي العارض ,North,430,2,5,5,2,1,1,1,1,0,0,1,0,1,0,0,0,0,65000,12,1
 Riyadh,   حي النرجس ,South,267,3,3,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,100000,10,1
